id,year,speech_year,date,description,subtitle,words,majortopic,filter_international,filter_duplicate
4057,1967,59,17/05/1967,Egyptian Forces On Full Alert,Ready to fight for Syria,238,16,1,0
4058,1967,59,17/05/1967,Offer to end emergency in Aden,,171,19,0,0
4059,1967,59,17/05/1967,Teacher dies in Ł600 aircraft,,123,30,0,0
4060,1967,59,17/05/1967,Briton's home in Shanghai sacked,Wild scenes in Peking,327,19,0,0
4061,1967,59,24/05/1967,Washington Condemns Blockade Of Israel,UN meets today: Minister off to US: Mr Brown in Moscow,1529,19,1,0
4062,1967,59,24/05/1967,Chichester Has Arm Trouble,,804,16,0,0
4063,1967,59,24/05/1967,300 Feared Dead In Brussels Fire,Insurance loss over Ł7m,372,27,0,0
4064,1967,59,24/05/1967,Russia gives warning to Israel,,118,19,1,0
4065,1967,59,24/05/1967,Divers died near Russian ships,MP's question on inquest,444,16,1,0
4066,1967,59,24/05/1967,Tanker split by explosion,,90,10,0,0
4067,1967,59,31/05/1967,Russia To Send 10 Ships Into Mediterranean,King Husain and Nasser sign defence agreement,743,16,1,0
4068,1967,59,31/05/1967,Gang In Carbon Copy Raid,,471,12,0,0
4069,1967,59,31/05/1967,American fleet shadowed by Soviet vessels,,271,16,1,0
4070,1967,59,31/05/1967,Tally clerks to go on strike,,357,10,0,0
4071,1967,59,31/05/1967,US Sailor Held At Holy Loch,British join Polaris inquiry,214,16,0,0
4072,1967,59,31/05/1967,Deluge stops 500-mile race,,89,29,0,0
4073,1967,59,31/05/1967,Husband accused of murder,,68,12,0,0
4074,1967,59,31/05/1967,Troops called up in Nigeria,Lagos acts on secession,433,16,1,0
4075,1967,59,31/05/1967,No decision on Zambia envoy,,93,19,0,0
4076,1967,59,07/06/1967,Israelis Thrust Deeper Into Sinai,"Arab States Break Off Relations With US, Oil stopped and Canal closed",1062,16,1,0
4077,1967,59,07/06/1967,Hint Of Jordan Cease-Fire,,498,16,1,0
4078,1967,59,07/06/1967,Israel planes over centre of Cairo,,403,16,1,0
4079,1967,59,07/06/1967,Wilson Rebuke To Egypt,Accusations 'monstrous,333,19,0,0
4080,1967,59,07/06/1967,Move to stop shipments of arms,,181,16,0,0
4081,1967,59,07/06/1967,Buggy found shot dead in sea,,126,12,0,0
4082,1967,59,07/06/1967,U N calls for end of fighting,Immediate cease-fire urged,377,19,0,0
4083,1967,59,07/06/1967,Britain most to lose from boycott,,264,18,0,0
4084,1967,59,14/06/1967,Mr Wilson Rejects 'D' Notice Verdict,Simpler system to be proposed in talks with editors,1073,20,0,0
4085,1967,59,14/06/1967,Florida Riots Flare Again,,532,12,1,0
4086,1967,59,14/06/1967,MP cannot be a TV chief,,290,17,0,0
4087,1967,59,14/06/1967,Pay Policy Gets Another Jolt,Loyalist joins abstainers,384,5,0,0
4088,1967,59,14/06/1967,Union keeps ban on rail terminal,,188,10,0,0
4089,1967,59,14/06/1967,Spanish Marines board ship,,83,16,0,0
4090,1967,59,14/06/1967,UN Council defer Israel vote,Russian demand denied,473,19,0,0
4091,1967,59,14/06/1967,Egyptians in Sinai dying of thirst,,111,19,1,0
4092,1967,59,21/06/1967,Mr Aidan CrawleY to resign his seat,,564,20,0,0
4093,1967,59,21/06/1967,18 British Die In Aden Army Mutiny,Labour Party row on Brown speech,702,16,0,0
4094,1967,59,21/06/1967,Brown Pressed On Policy,,717,20,0,0
4095,1967,59,21/06/1967,Sir Laurence told: 'No acting,,221,28,0,0
4096,1967,59,21/06/1967,Five Years For Cassius Clay,,167,12,1,0
4097,1967,59,21/06/1967,Israel offer of 'land Suez,,95,16,1,0
4098,1967,59,21/06/1967,"2,400 join dispute at rail freight depot",,255,10,0,0
4099,1967,59,21/06/1967,French rebuff on swing-wing,Completion 'very unlikely,324,19,0,0
4100,1967,59,21/06/1967,Campbell project,,88,29,0,0
4101,1967,59,21/06/1967,Mr Wilson rejects 'Sir Alec' jibe,,174,20,0,0
4102,1967,59,28/06/1967,Christine Truman beaten,,536,12,0,0
4103,1967,59,28/06/1967,Mr Heath To See Lohan Papers,D Notice debate in Lords next week,1072,20,0,0
4104,1967,59,28/06/1967,Mick Jagger is found guilty,,324,28,0,0
4105,1967,59,28/06/1967,Two Israelis for 420 Arabs,,349,16,1,0
4106,1967,59,28/06/1967,Struggle For Sea Fort,,380,10,0,0
4107,1967,59,28/06/1967,Resignation of Lord Harlech,,212,20,0,0
4108,1967,59,28/06/1967,Railwaymen are trigger happy,Manager's accusation,317,10,0,0
4109,1967,59,28/06/1967,Stansted threat to Government,,132,10,0,0
4110,1967,59,28/06/1967,The Prince of Wales to act for Queen,,110,20,0,0
4111,1967,59,05/07/1967,Bigger sonic booms,,426,10,0,0
4112,1967,59,05/07/1967,Britain Will Buy More Phantoms,Swing-wing collapse hits defence plans,147,16,0,0
4113,1967,59,05/07/1967,Joint Arms Projects Still Go Ahead,,447,16,0,0
4114,1967,59,05/07/1967,84 old people taken ill on outing,,277,3,0,0
4115,1967,59,05/07/1967,Britons surprise top seeds,,127,29,0,0
4116,1967,59,05/07/1967,Central unit for road safety,,398,10,0,0
4117,1967,59,05/07/1967,Commando for prices watch,,274,15,0,0
4118,1967,59,05/07/1967,Mr Brown's Bold Look At Europe,,430,19,0,0
4119,1967,59,05/07/1967,Stones' appeal date brought forward,,313,28,0,0
4120,1967,59,05/07/1967,Gen Baker to be Army chief,,122,16,0,0
4121,1967,59,05/07/1967,Sex Bill should go quietly,,120,20,0,0
4122,1967,59,05/07/1967,Reserves fall by Ł43m,,141,1,0,0
4123,1967,59,12/07/1967,Hottest day for south-east,,263,26,0,0
4124,1967,59,12/07/1967,Gas compromise at Abingdon,,108,8,0,0
4125,1967,59,12/07/1967,Margot Fonteyn freed after US police raid,,753,12,1,0
4126,1967,59,12/07/1967,Meals Strike By Teachers In Autumn,"8,000 to refuse duty: dismissal risk",571,6,0,0
4127,1967,59,12/07/1967,Majority 20 in vote at 1.30 am,,274,20,0,0
4128,1967,59,12/07/1967,Press Dispute Talks Today,,402,17,0,0
4129,1967,59,12/07/1967,Air violation apology to China,,165,16,0,0
4130,1967,59,12/07/1967,Walkout talk by Short's board,Resigning chief felt to have been victimized,401,15,0,0
4131,1967,59,19/07/1967,Hint Of State Shareholding Powers,Mr Wilson takes up challenge,986,1,0,0
4132,1967,59,19/07/1967,Subsidies to help coal industry,,556,8,0,0
4133,1967,59,19/07/1967,Rhodesia Prints Own Banknotes,"Victory', says Mr Smith",294,21,0,0
4134,1967,59,19/07/1967,Soviet arms threat by Jordan,,88,16,1,0
4135,1967,59,19/07/1967,"37,000 cut in Services over next four years","Further 80,000 to be slashed by 1975",704,13,0,0
4136,1967,59,19/07/1967,Sterilization for Indian fathers,,111,3,1,0
4137,1967,59,19/07/1967,Progress made on liquidity plan,,144,15,0,0
4138,1967,59,19/07/1967,U S Hope To Stem Withdrawal,,366,16,1,0
4139,1967,59,26/07/1967,Dounreay reactor shut down,,316,8,0,0
4140,1967,59,26/07/1967,U S strife 'gravest since Civil War,,507,12,1,0
4141,1967,59,26/07/1967,Gen De Gaulle Rebuked By Mr Pearson,Canada rejects efforts to destroy unity,706,19,1,0
4142,1967,59,26/07/1967,Tighter race laws for Britain,,250,2,0,0
4143,1967,59,26/07/1967,300-Seat Airbus Go-Ahead,,285,10,0,0
4144,1967,59,26/07/1967,Scrutiny into five years of profits,,135,15,0,0
4145,1967,59,26/07/1967,Minister quits on welfare curb,Miss Herbison says 'only possible course,423,13,0,0
4146,1967,59,26/07/1967,Defence cuts defeat,,79,16,0,0
4147,1967,59,02/08/1967,Shock Report On Cost Of State Schemes,"Aircraft, road, and Scotland Yard projects come under fire, Buccaneer Price May Be Too High",917,20,0,0
4148,1967,59,02/08/1967,De Gaulle gets sharp retort,,244,19,0,0
4149,1967,59,02/08/1967,Nationalist 'for by-election,,125,20,0,0
4150,1967,59,02/08/1967,Camera catches snowy owls,,256,7,0,0
4151,1967,59,02/08/1967,Take steel away from politics,,242,20,0,0
4152,1967,59,02/08/1967,Aberfan Talks At No. 10,,236,20,0,0
4153,1967,59,02/08/1967,John Bloom report is ready,,197,15,0,0
4154,1967,59,02/08/1967,Talks bring hope in rail dispute,,155,10,0,0
4155,1967,59,02/08/1967,Liner sale opposed,,116,10,0,0
4156,1967,59,02/08/1967,Race trouble hits Washington,Attorney-General joins dispute over troops,305,2,1,0
4157,1967,59,02/08/1967,Lord Harewood and bride home,,78,34,0,0
4158,1967,59,02/08/1967,Anti-British riots in Biafra,,155,12,0,0
4159,1967,59,09/08/1967,Storm in a stamp album,,468,34,0,0
4160,1967,59,09/08/1967,Garage Bills 19 pc Up In Two Years,Trade sets up group to study action,846,15,0,0
4161,1967,59,09/08/1967,Single space Ministry proposed,,473,17,0,0
4162,1967,59,09/08/1967,The Prince meets his tenants,,255,34,0,0
4163,1967,59,09/08/1967,Mr Giles Romilly found dead,,91,30,0,0
4164,1967,59,09/08/1967,Threat Against Herr Brandt,,194,19,1,0
4165,1967,59,09/08/1967,Manx Lower House to go it alone,,184,24,0,0
4166,1967,59,09/08/1967,Villages cut off by deluge,,122,26,0,0
4167,1967,59,09/08/1967,British schoolboys die in crash,,89,27,0,0
4168,1967,59,09/08/1967,Cadco man's CBE cancelled,,143,20,0,0
4169,1967,59,09/08/1967,Chinese warning on Air Force,Attempts by anti-Mao forces to gain control,414,16,0,0
4170,1967,59,09/08/1967,Oil slicks threaten beaches,,165,7,0,0
4171,1967,59,16/08/1967,Churchill ' play with The Lord Chamberlain,,398,28,0,0
4172,1967,59,16/08/1967,Fears of new Ibo massacres growing,,624,16,1,0
4173,1967,59,16/08/1967,Free Caroline Commercials Worry Firms,Boast of U S support unfounded,556,17,0,0
4174,1967,59,16/08/1967,RAF flight queried,,225,16,0,0
4175,1967,59,16/08/1967,Review of National Trust,,180,13,0,0
4176,1967,59,16/08/1967,Inquiry On Pay For Pilots,,347,10,0,0
4177,1967,59,16/08/1967,Flying Squad raid farm hideout,,145,16,0,0
4178,1967,59,16/08/1967,Goods train crash kills driver,,112,10,0,0
4179,1967,59,16/08/1967,July trade shows Ł6m surplus,,115,18,0,0
4180,1967,59,16/08/1967,NUT backs Court Lees head,Early meeting sought with 'unjust' Mr Jenkins,410,6,0,0
4181,1967,59,16/08/1967,Chinese Note rejected as offensive,,123,19,0,0
4182,1967,59,23/08/1967,Peking Demonstrators Set Fire To British Embassy Buildings,Mr Brown returning to London,1018,16,0,0
4183,1967,59,23/08/1967,Travel ban on London Chinese,,564,9,0,0
4184,1967,59,23/08/1967,Girl IS Found Dead In Wood,,244,12,0,0
4185,1967,59,23/08/1967,Gun charge in gold case,,120,12,0,0
4186,1967,59,23/08/1967,Letter gives reasons for embassy shooting,,296,19,0,0
4187,1967,59,23/08/1967,Army begins Aden withdrawal,Dates agreed for relief by S. Arabian troops,409,16,0,0
4188,1967,59,23/08/1967,Dock strike affects 25 ships,,145,10,0,0
4189,1967,59,30/08/1967,China Bars Exit Of Britons In Peking,Sequel to clash at London legation,177,19,0,0
4190,1967,59,30/08/1967,US ban on Nazi funeral,,556,16,1,0
4191,1967,59,30/08/1967,Dustbin Lids Used As Shields,,569,99,0,0
4192,1967,59,30/08/1967,Complaint rejected,,412,99,0,0
4193,1967,59,30/08/1967,Army rejects power in S Arabia,,163,16,0,0
4194,1967,59,30/08/1967,Cowdrey captains England,,339,29,0,0
4195,1967,59,30/08/1967,Cairo Rumours Of Plot Against Nasser,,430,19,1,0
4196,1967,59,30/08/1967,Five leaders absent from summit,,282,19,0,0
4197,1967,59,30/08/1967,First step to gentle reflation,,319,1,0,0
4198,1967,59,06/09/1967,Robens agrees to stay,,394,8,0,0
4199,1967,59,06/09/1967,Break with US on Vietnam,,570,19,0,0
4200,1967,59,06/09/1967,Power Tariffs Demand IS Rejected,Mr Gunter moves in rail dispute,356,8,0,0
4201,1967,59,06/09/1967,New threat to train services,,343,10,0,0
4202,1967,59,06/09/1967,Seven Killed In Gales,,353,26,0,0
4203,1967,59,06/09/1967,Coastguard fires back at gunman,,88,16,0,0
4204,1967,59,06/09/1967,US planning 'death ray' weapon,,280,16,1,0
4205,1967,59,06/09/1967,Hanoi warning on peace moves,,115,16,1,0
4206,1967,59,06/09/1967,Britain told to get out of Aden,Nationalists' reply to negotiation offer,413,16,0,0
4207,1967,59,06/09/1967,Troops may come home sooner,,140,16,0,0
4208,1967,59,13/09/1967,Caroline TV trip brings ban,,607,17,0,0
4209,1967,59,13/09/1967,100 Trains Are Cancelled In The North,Walkout by guards causes chaos,443,10,0,0
4210,1967,59,13/09/1967,Vauxhall men defy shut-down warning,,327,10,0,0
4211,1967,59,13/09/1967,Planes close in on Haiphong,,367,16,1,0
4212,1967,59,13/09/1967,Easy Win For Intrepid,,306,29,0,0
4213,1967,59,13/09/1967,Mr Macleod in attack over Aden,,239,16,0,0
4214,1967,59,13/09/1967,New contract for Cliff Michelmore,,288,17,0,0
4215,1967,59,13/09/1967,Schooner adrift in Channel,,96,10,0,0
4216,1967,59,13/09/1967,"No more reflation, Mr Wilson says",T U C plea rejected,438,1,0,0
4217,1967,59,13/09/1967,Inquiry on council spending,,159,24,0,0
4218,1967,59,20/09/1967,Martell faces new crisis,,486,34,0,0
4219,1967,59,20/09/1967,U Thant Wants Ministers To Meet,Danger of new war in Middle East,580,16,0,0
4220,1967,59,20/09/1967,Ship missing with crew of 42,,103,10,0,0
4221,1967,59,20/09/1967,Docks peace is likely by weekend,,509,10,0,0
4222,1967,59,20/09/1967,British opposition to missiles,,104,16,0,0
4223,1967,59,20/09/1967,State raises Q4 loan to Ł24m,,125,1,0,0
4224,1967,59,20/09/1967,Ł30M Plan For London Rail Terminals,,465,10,0,0
4225,1967,59,20/09/1967,Space ray hazard may be ended,,220,17,0,0
4226,1967,59,20/09/1967,Liberals' plan to save Ł,,261,33,0,0
4227,1967,59,27/09/1967,Violence raging in Tibet,,504,16,1,0
4228,1967,59,27/09/1967,City man arrested on fraud charge,,71,12,0,0
4229,1967,59,27/09/1967,US Puzzled By Hanoi Peace Overtures,New indirect offer of talks,467,16,1,0
4230,1967,59,27/09/1967,Soundings meet with no success,,508,99,0,0
4231,1967,59,27/09/1967,Debray faces his accusers,,358,12,1,0
4232,1967,59,27/09/1967,Chinese Close Trade Office,,299,18,0,0
4233,1967,59,27/09/1967,Mr Shelepin loses party office,,162,33,0,0
4234,1967,59,27/09/1967,Shipyards get Ł26m order,,93,10,0,0
4235,1967,59,27/09/1967,Press companies merge,,114,17,0,0
4236,1967,59,27/09/1967,NUR reject plea to end ban,"Suspensions unlikely, rail board say",426,10,0,0
4237,1967,59,27/09/1967,Railmen get Ł250 offer to quit,,127,10,0,0
4238,1967,59,04/10/1967,Chancellor Routs The Economic Critics,Reflation restricted to development areas,1097,1,0,0
4239,1967,59,04/10/1967,Mr Brown flares up on Vietnam,,543,16,0,0
4240,1967,59,04/10/1967,Brian Statham on the dole,,375,29,0,0
4241,1967,59,04/10/1967,Briton found shot dead in Nigeria,,140,19,0,0
4242,1967,59,04/10/1967,Sir Malcolm Sargent Dies,,332,30,0,0
4243,1967,59,04/10/1967,Mr Leslie Hale to resign,,95,20,0,0
4244,1967,59,04/10/1967,Strict rules for French drivers,,199,10,1,0
4245,1967,59,04/10/1967,Britons detained in Naples,,96,19,0,0
4246,1967,59,04/10/1967,Minister off for swing-wing talks,America visit may mean F 111 plan modifications,222,16,0,0
4247,1967,59,11/10/1967,Censure of Gaullists fails,,604,19,1,0
4248,1967,59,11/10/1967,Action Urged To End The Brain Drain,More pay and seat in board room,656,20,0,0
4249,1967,59,11/10/1967,Mrs Castle claims success,,405,20,0,0
4250,1967,59,11/10/1967,Egypt explains Amer's death,,94,19,1,0
4251,1967,59,11/10/1967,Mr Scamp to hold dock inquiry,,279,10,0,0
4252,1967,59,11/10/1967,U S Cannot Keep Nato Pledge,,278,16,0,0
4253,1967,59,11/10/1967,Allison not going to Coventry,,196,29,0,0
4254,1967,59,11/10/1967,Oxford drug allegation,,224,6,0,0
4255,1967,59,11/10/1967,Russian arms bill up by Ł900m,North Vietnam to be given increased aid,332,16,1,0
4256,1967,59,11/10/1967,China visas for British wives,,101,19,0,0
4257,1967,59,18/10/1967,Andes race to scale mountain,,560,29,0,0
4258,1967,59,18/10/1967,Nur Take Up Rail Board Challenge,Guards to walk out if man is sent home,690,10,0,0
4259,1967,59,18/10/1967,Carron Attack On Fifth Column,,309,5,0,0
4260,1967,59,18/10/1967,Madrid trial of Duchess,,363,12,1,0
4261,1967,59,18/10/1967,New tip slide in South Wales,Two men escape as their cottages are hit,633,27,0,0
4262,1967,59,18/10/1967,Britain asks for Suez release,,138,19,0,0
4263,1967,59,18/10/1967,Barony claim by woman,,90,20,0,0
4264,1967,59,18/10/1967,Car Chief Sees Danger Ahead,,266,10,0,0
4265,1967,59,18/10/1967,11 men held after BAOR incidents,,80,16,0,0
4266,1967,59,25/10/1967,France's Eec Partners Fight Bar On Britain,Government ready to strengthen Efta,944,19,0,0
4267,1967,59,25/10/1967,MrWilson: 'Time is on our side,,607,20,0,0
4268,1967,59,25/10/1967,The Flying Thing leaves two constables baffled,,552,34,0,0
4269,1967,59,25/10/1967,Union Expels Lou Lewis,,299,5,0,0
4270,1967,59,25/10/1967,Ł75 travel allowance for some,,104,10,0,0
4271,1967,59,25/10/1967,US aircraft bomb MiG base,,157,16,1,0
4272,1967,59,25/10/1967,Big fight 'live' on TV banned,,92,17,0,0
4273,1967,59,25/10/1967,Suez oil refineries set on fire,Israel and Egyptian guns in Canal duel,351,8,0,0
4274,1967,59,25/10/1967,Secrets staff will not be searched,,123,16,0,0
4275,1967,60,01/11/1967,Constitutional Clash Threatened Over Plan For Lords,Prime Minister to call all-party talks,1121,20,0,0
4276,1967,60,01/11/1967,Chalfont resignation refused,,525,20,0,0
4277,1967,60,01/11/1967,Ebullient Mr Brown hits out,,559,20,0,0
4278,1967,60,01/11/1967,Solent says farewell to 'Queen,,278,34,0,0
4279,1967,60,01/11/1967,Etu Gets Tough With Militants,,188,5,0,0
4280,1967,60,01/11/1967,Uproar halts council,,154,24,0,0
4281,1967,60,01/11/1967,Mr Humphrey in Vietcong shelling,Saigon palace attacked during reception,329,16,1,0
4282,1967,60,01/11/1967,Smallpox order at Wandsworth,,84,3,0,0
4283,1967,60,01/11/1967,"5,000 London dockers to stay out",,136,10,0,0
4284,1967,60,08/11/1967,Close-up on life of Einstein,,663,17,0,0
4285,1967,60,08/11/1967,Chancellor In Storm Over Jobless,Higher unemployment level affirmed,530,1,0,0
4286,1967,60,08/11/1967,Demands for reflation utterly rejected,,476,1,0,0
4287,1967,60,08/11/1967,Brooke inquiry to Russian envoy,,354,19,0,0
4288,1967,60,08/11/1967,Rail break stops 10 London trains,Eight other track defects found yesterday,459,10,0,0
4289,1967,60,08/11/1967,Cairo hint of peace plan assent,,182,16,1,0
4290,1967,60,08/11/1967,Left Victory In Aeu Poll,,479,5,0,0
4291,1967,60,08/11/1967,Paris stays firm on EEC,,156,19,0,0
4292,1967,60,15/11/1967,460 cattle for Russia cancelled,,650,18,0,0
4293,1967,60,15/11/1967,"Mines Cutback By 35,000 Men A Year",Mr Marsh to face his critics,956,8,0,0
4294,1967,60,15/11/1967,Ł90m loan confirmed,,271,1,0,0
4295,1967,60,15/11/1967,Grim report on Rhodesia prospects,,471,21,0,0
4296,1967,60,15/11/1967,Philby Says 'I Would Do IT Again,,446,16,0,0
4297,1967,60,15/11/1967,Mr Brown announces Aden timetable,,314,19,0,0
4298,1967,60,15/11/1967,Baby girl beaten by raiders,,198,12,0,0
4299,1967,60,22/11/1967,Pound Bursts Ahead In Feverish Day Of Share Dealings,,935,1,0,0
4300,1967,60,22/11/1967,Call for massive drive among industrialists,,597,1,0,0
4301,1967,60,22/11/1967,Aztec' skull may be found a fake,,412,28,0,0
4302,1967,60,22/11/1967,Wilson seeks peace with miners,,276,8,0,0
4303,1967,60,22/11/1967,Wife Engulfed By Cave-In,,225,34,0,0
4304,1967,60,22/11/1967,Brazil holds Gestapo suspect,,86,16,1,0
4305,1967,60,22/11/1967,British Railways chief resigns,Sir Stanley Raymond rejects freight council post,317,10,0,0
4306,1967,60,22/11/1967,Ten acquitted in Athens trial,,101,12,0,0
4307,1967,60,22/11/1967,Restrictions on Chinese relaxed,,153,9,0,0
4308,1967,60,29/11/1967,Mystery of missing wine chief,,622,34,0,0
4309,1967,60,29/11/1967,Threat To All British Rail Services,Drivers decide on stronger action,645,10,0,0
4310,1967,60,29/11/1967,Teachers' victory on school meals,,424,6,0,0
4311,1967,60,29/11/1967,Chancellor named at Cambridge,,43,6,0,0
4312,1967,60,29/11/1967,Greek effort to avert war,,236,16,0,0
4313,1967,60,29/11/1967,British plea on Suez Canal,,83,19,0,0
4314,1967,60,29/11/1967,Cattle Disease Vaccine Plan,,413,4,0,0
4315,1967,60,29/11/1967,Mr Wilson waits to reply on veto,,524,20,0,0
4316,1967,60,29/11/1967,Secrecy over Aden pact details,,249,19,0,0
4317,1967,60,29/11/1967,Protest on 'drugged' attachés,,298,19,0,0
4318,1967,60,06/12/1967,No trucks for the traveller,,438,10,0,0
4319,1967,60,06/12/1967,Scientists rescued from volcano isle,,367,34,0,0
4320,1967,60,06/12/1967,Railmen Talk On Wilson's Peace Plan,Meeting at No 10 in early hours,542,10,0,0
4321,1967,60,06/12/1967,Europe's rocket fails again,,79,17,0,0
4322,1967,60,06/12/1967,Match arrests,,29,12,0,0
4323,1967,60,06/12/1967,264 held in US call-up protest,,331,16,1,0
4324,1967,60,06/12/1967,Hotel Gunmen Grab Jewel,,251,12,0,0
4325,1967,60,06/12/1967,S Africa has reactor in operation,,101,8,1,0
4326,1967,60,06/12/1967,Food prices 'will rise by 10%,,106,4,0,0
4327,1967,60,06/12/1967,Jenkins warning of tough Budget,18 Labour members in rebel vote,674,1,0,0
4328,1967,60,13/12/1967,Senator under fire in Vietnam,,701,16,1,0
4329,1967,60,13/12/1967,Rhodesia's New Proposals Rejected,Incompatible with the six principles,559,21,0,0
4330,1967,60,13/12/1967,Salisbury reaction to 'bombshell,,370,20,0,0
4331,1967,60,13/12/1967,Wilson rejects British Museum's plea,,521,28,0,0
4332,1967,60,13/12/1967,Labour fears of deal with S Africa,,215,19,0,0
4333,1967,60,13/12/1967,Johnson Defies War Critics,,205,16,0,0
4334,1967,60,13/12/1967,Firms warned on food prices,,155,4,0,0
4335,1967,60,13/12/1967,Changes agreed in Nato strategy,Lower force levels will mean BAOR cuts,306,16,0,0
4336,1967,60,13/12/1967,Foot-and-mouth restrictions,,107,4,0,0
4337,1967,60,13/12/1967,"Ł 1,000 fine, not gaol, for 'Stone",,174,28,0,0
4338,1967,60,20/12/1967,France Votes To Bar Britain's Entry To Common Market,Government's grave concern,1544,19,0,0
4339,1967,60,20/12/1967,Roulette ruling reversed by Law Lords,,397,15,0,0
4340,1967,60,20/12/1967,Johnson's proposal to Hanoi,Contact with Saigon to seek Vietnam peace,562,16,1,0
4341,1967,60,20/12/1967,Labour Call To Expel Rebels,,555,33,0,0
4342,1967,60,20/12/1967,Transfusions for heart man,,190,3,0,0
4343,1967,60,20/12/1967,Detained Briton allowed home,,96,19,0,0
4344,1967,60,20/12/1967,Greek trial date,,60,12,0,0
4345,1967,60,27/12/1967,Hot on the scent of coursing,,483,4,0,0
4346,1967,60,27/12/1967,Three killed in ship's fire,,87,10,0,0
4347,1967,60,27/12/1967,Holiday Road Deaths Fall By 50,"86 killed in four days with 2,730 crashes",876,10,0,0
4348,1967,60,27/12/1967,KGB defied over secret Soviet trial,,573,12,1,0
4349,1967,60,27/12/1967,No incomes concession to TUC,,179,5,0,0
4350,1967,60,27/12/1967,Disabled tanker taken in tow,,81,10,0,0
4351,1967,60,27/12/1967,North Vietnam Attacks Laos,,326,16,1,0
4352,1967,60,27/12/1967,Greek Queen may lose baby,,102,34,1,0
4353,1967,60,27/12/1967,Two explosions in Moscow,,163,16,1,0
4354,1967,60,27/12/1967,Tenth baby dies in epidemic,Infection precautions at maternity hospital,562,3,0,0
4355,1968,60,03/01/1968,Welsh rebels defy law,,658,12,0,0
4356,1968,60,03/01/1968,United States May Tax Its Tourists,Plan for daily charge under study,110,19,1,0
4357,1968,60,03/01/1968,Levy On Tickets IS Suggested,,363,1,0,0
4358,1968,60,03/01/1968,Possible bargain on forces in east,,536,16,0,0
4359,1968,60,03/01/1968,Bride travelled three weeks in box,,401,34,0,0
4360,1968,60,03/01/1968,Left prepare own study on cuts,,185,1,0,0
4361,1968,60,03/01/1968,Ammunition for Nigerian Army,,95,16,1,0
4362,1968,60,03/01/1968,Soviet Troops In Mongolia,,234,16,1,0
4363,1968,60,03/01/1968,Hospital bed demand soars,,107,3,0,0
4364,1968,60,03/01/1968,White man given a Coloured heart,"Second transplant 'went better', says doctor",549,3,0,0
4365,1968,60,10/01/1968,Andes peak scaled by Britons,,653,29,0,0
4366,1968,60,10/01/1968,ICE Hazards After Snow Chaos,Bridge fall cuts trunk route in floods,131,26,0,0
4367,1968,60,10/01/1968,26 Children Rescued By Helicopter,,776,34,0,0
4368,1968,60,10/01/1968,Ex-general in Moscow trial protest,,497,12,1,0
4369,1968,60,10/01/1968,Soft landing on moon,,189,17,0,0
4370,1968,60,10/01/1968,Minister Stops Bus Pay Rise,,201,10,0,0
4371,1968,60,10/01/1968,Ban on new half-barrier crossings,,140,10,0,0
4372,1968,60,10/01/1968,Australian leader is Mr Gorton,,103,19,1,0
4373,1968,60,10/01/1968,New US heart transplant,,112,3,1,0
4374,1968,60,10/01/1968,Commons recalled to discuss cuts,Singapore Prime Minister for London talks,432,20,0,0
4375,1968,60,10/01/1968,Uncertainty on defence levels,,215,16,0,0
4376,1968,60,17/01/1968,Mr Wilson Makes His Main Economies In Defence Field,,199,1,0,0
4377,1968,60,17/01/1968,Lord Longford resigns-the only Cabinet casualty,,1283,20,0,0
4378,1968,60,17/01/1968,Where the axe falls,,262,1,0,0
4379,1968,60,17/01/1968,America Voices Regret At Withdrawal,,669,16,1,0
4380,1968,60,17/01/1968,New Hanoi peace move,,564,16,1,0
4381,1968,60,17/01/1968,Hard Budget ahead Mr Jenkins says,No salary increases to match higher prices,429,1,0,0
4382,1968,60,17/01/1968,The pound takes a tumble,,106,1,0,0
4383,1968,60,24/01/1968,American War Fleet Sailing Towards North Korea,Washington anger at seizure of US ship,116,16,1,0
4384,1968,60,24/01/1968,Questions awaiting answer,,482,99,0,0
4385,1968,60,24/01/1968,Rusk Says Action Of 'Utmost Gravity,,850,16,1,0
4386,1968,60,24/01/1968,Stanley Matthews faces FA suspension,,453,29,0,0
4387,1968,60,24/01/1968,World title at last for Winstone,,134,29,0,0
4388,1968,60,24/01/1968,Ban Likely On 26 Rebels,,342,20,0,0
4389,1968,60,24/01/1968,Paris-Italy express in crash,,124,10,1,0
4390,1968,60,24/01/1968,Radiation leak on Greenland icecap,Bomber wreckage found by search teams,348,16,1,0
4391,1968,60,24/01/1968,Breath test for man in hospital,,168,3,0,0
4392,1968,60,31/01/1968,Helicopters Retake U S Embassy From Vietcong,Americans wipe out suicide squads,933,16,1,0
4393,1968,60,31/01/1968,Battle for Embassy building,,531,16,1,0
4394,1968,60,31/01/1968,Gaming Bill halted after court ruling,,407,15,0,0
4395,1968,60,31/01/1968,Tortures' in GreeceAmnesty,,213,16,0,0
4396,1968,60,31/01/1968,Gun Duel Stops Suez Survey,,292,19,1,0
4397,1968,60,31/01/1968,Seven TWW announcers lose jobs,,158,17,0,0
4398,1968,60,31/01/1968,John Bloom faces charge of intent to defraud,Accused over company's 1960 accounts,422,12,0,0
4399,1968,60,07/02/1968,Lone Survivor Crawls Ashore From Hull Trawler,Life saved by two men who died,132,4,0,0
4400,1968,60,07/02/1968,Fishing ban possible by weekend,,502,4,0,0
